x,y
0.9686500,-0.1134310
0.9684758,-0.1132520
0.9679535,-0.1127154
0.9670831,-0.1118218
0.9658652,-0.1105726
0.9643001,-0.1089696
0.9623881,-0.1070152
0.9601293,-0.1047128
0.9575234,-0.1020663
0.9545696,-0.0990807
0.9512661,-0.0957620
0.9476106,-0.0921173
0.9435993,-0.0881552
0.9392274,-0.0838858
0.9344887,-0.0793206
0.9293754,-0.0744732
0.9238785,-0.0693592
0.9179874,-0.0639961
0.9116904,-0.0584042
0.9049744,-0.0526059
0.8978256,-0.0466264
0.8902298,-0.0404938
0.8821726,-0.0342388
0.8736400,-0.0278949
0.8646191,-0.0214982
0.8550988,-0.0150875
0.8450703,-0.0087036
0.8345278,-0.0023887
0.8234693,0.0038137
0.8118975,0.0098597
0.7998199,0.0157065
0.7872495,0.0213127
0.7742051,0.0266400
0.7607115,0.0316541
0.7467994,0.0363265
0.7325051,0.0406352
0.7178701,0.0445665
0.7029406,0.0481155
0.6877665,0.0512876
0.6724010,0.0540987
0.6568994,0.0565757
0.6413186,0.0587565
0.6257167,0.0606894
0.6101521,0.0624329
0.5946704,0.0640541
0.5791417,0.0656094
0.5635305,0.0671033
0.5478524,0.0685315
0.5321229,0.0698900
0.5163578,0.0711746
0.5005728,0.0723816
0.4847838,0.0735070
0.4690066,0.0745472
0.4532571,0.0754987
0.4375512,0.0763579
0.4219047,0.0771216
0.4063334,0.0777868
0.3907588,0.0783448
0.3752597,0.0787682
0.3598823,0.0790528
0.3446427,0.0791973
0.3295572,0.0792007
0.3146415,0.0790626
0.2999115,0.0787830
0.2853829,0.0783621
0.2710708,0.0778009
0.2569907,0.0771004
0.2431573,0.0762624
0.2295853,0.0752889
0.2162891,0.0741823
0.2032827,0.0729457
0.1905798,0.0715822
0.1781938,0.0700956
0.1661375,0.0684899
0.1544236,0.0667695
0.1430642,0.0649392
0.1320710,0.0630040
0.1214553,0.0609692
0.1112278,0.0588405
0.1013990,0.0566234
0.0919786,0.0543241
0.0829761,0.0519485
0.0744002,0.0495027
0.0662593,0.0469932
0.0585613,0.0444260
0.0513135,0.0418073
0.0445226,0.0391433
0.0381949,0.0364400
0.0323363,0.0337033
0.0269519,0.0309387
0.0220464,0.0281518
0.0176240,0.0253476
0.0136884,0.0225309
0.0102428,0.0197063
0.0072897,0.0168778
0.0048314,0.0140491
0.0028694,0.0112234
0.0014048,0.0084036
0.0004384,0.0055920
-0.0000297,0.0027903
0.0000000,0.0000000
0.0005232,-0.0027410
0.0015348,-0.0053949
0.0030332,-0.0079611
0.0050159,-0.0104388
0.0074803,-0.0128274
0.0104230,-0.0151261
0.0138405,-0.0173342
0.0177284,-0.0194509
0.0220823,-0.0214755
0.0268971,-0.0234072
0.0321674,-0.0252453
0.0378872,-0.0269891
0.0440504,-0.0286383
0.0506504,-0.0301921
0.0576800,-0.0316504
0.0651320,-0.0330129
0.0729987,-0.0342794
0.0812719,-0.0354502
0.0899434,-0.0365253
0.0990044,-0.0375054
0.1084460,-0.0383911
0.1182589,-0.0391833
0.1284337,-0.0398831
0.1389604,-0.0404920
0.1498290,-0.0410115
0.1610293,-0.0414436
0.1725506,-0.0417904
0.1843822,-0.0420543
0.1965131,-0.0422379
0.2089320,-0.0423443
0.2216275,-0.0423764
0.2345879,-0.0423376
0.2478013,-0.0422316
0.2612556,-0.0420620
0.2749387,-0.0418328
0.2888378,-0.0415482
0.3029406,-0.0412122
0.3172339,-0.0408292
0.3317049,-0.0404037
0.3463403,-0.0399401
0.3611266,-0.0394428
0.3760504,-0.0389164
0.3910979,-0.0383653
0.4062853,-0.0377913
0.4216609,-0.0371743
0.4371156,-0.0365127
0.4526345,-0.0358101
0.4682029,-0.0350702
0.4838054,-0.0342965
0.4994272,-0.0334927
0.5150530,-0.0326622
0.5306677,-0.0318083
0.5462560,-0.0309343
0.5618027,-0.0300434
0.5772928,-0.0291385
0.5927109,-0.0282225
0.6079908,-0.0273043
0.6229690,-0.0264375
0.6376550,-0.0256894
0.6520681,-0.0251164
0.6662235,-0.0247652
0.6801320,-0.0246732
0.6937997,-0.0248696
0.7072289,-0.0253757
0.7204177,-0.0262054
0.7333612,-0.0273658
0.7460515,-0.0288575
0.7584787,-0.0306751
0.7706317,-0.0328078
0.7824981,-0.0352396
0.7940654,-0.0379502
0.8053213,-0.0409154
0.8162540,-0.0441079
0.8268524,-0.0474976
0.8371067,-0.0510527
0.8470078,-0.0547401
0.8565482,-0.0585261
0.8657212,-0.0623770
0.8745211,-0.0662595
0.8829433,-0.0701413
0.8909836,-0.0739916
0.8986385,-0.0777813
0.9059048,-0.0814833
0.9127795,-0.0850726
0.9192597,-0.0885268
0.9253426,-0.0918257
0.9310253,-0.0949517
0.9363047,-0.0978892
0.9411776,-0.1006253
0.9456410,-0.1031490
0.9496916,-0.1054513
0.9533262,-0.1075249
0.9565417,-0.1093641
0.9593351,-0.1109645
0.9617038,-0.1123229
0.9636453,-0.1134368
0.9651577,-0.1143045
0.9662391,-0.1149250
0.9668885,-0.1152976
0.9671050,-0.1154218
