x,y
0.9876852,-0.0681445
0.9874729,-0.0680130
0.9868362,-0.0676187
0.9857756,-0.0669622
0.9842917,-0.0660447
0.9823856,-0.0648678
0.9800583,-0.0634337
0.9773111,-0.0617453
0.9741453,-0.0598059
0.9705620,-0.0576199
0.9665623,-0.0551924
0.9621471,-0.0525294
0.9573169,-0.0496382
0.9520719,-0.0465270
0.9464117,-0.0432054
0.9403358,-0.0396842
0.9338430,-0.0359758
0.9269317,-0.0320940
0.9196001,-0.0280541
0.9118461,-0.0238730
0.9036673,-0.0195693
0.8950615,-0.0151630
0.8860269,-0.0106756
0.8765620,-0.0061303
0.8666660,-0.0015511
0.8563395,0.0030366
0.8455842,0.0076068
0.8344035,0.0121327
0.8228029,0.0165877
0.8107900,0.0209455
0.7983751,0.0251804
0.7855711,0.0292681
0.7723939,0.0331865
0.7588621,0.0369157
0.7449975,0.0404393
0.7308249,0.0437444
0.7163716,0.0468226
0.7016679,0.0496705
0.6867461,0.0522899
0.6716408,0.0546885
0.6563884,0.0568798
0.6410265,0.0588835
0.6255941,0.0607252
0.6101312,0.0624364
0.5946704,0.0640541
0.5791417,0.0656094
0.5635305,0.0671033
0.5478524,0.0685315
0.5321229,0.0698900
0.5163578,0.0711746
0.5005728,0.0723816
0.4847838,0.0735070
0.4690066,0.0745472
0.4532571,0.0754987
0.4375512,0.0763579
0.4219047,0.0771216
0.4063334,0.0777868
0.3907588,0.0783448
0.3752597,0.0787682
0.3598823,0.0790528
0.3446427,0.0791973
0.3295572,0.0792007
0.3146415,0.0790626
0.2999115,0.0787830
0.2853829,0.0783621
0.2710708,0.0778009
0.2569907,0.0771004
0.2431573,0.0762624
0.2295853,0.0752889
0.2162891,0.0741823
0.2032827,0.0729457
0.1905798,0.0715822
0.1781938,0.0700956
0.1661375,0.0684899
0.1544236,0.0667695
0.1430642,0.0649392
0.1320710,0.0630040
0.1214553,0.0609692
0.1112278,0.0588405
0.1013990,0.0566234
0.0919786,0.0543241
0.0829761,0.0519485
0.0744002,0.0495027
0.0662593,0.0469932
0.0585613,0.0444260
0.0513135,0.0418073
0.0445226,0.0391433
0.0381949,0.0364400
0.0323363,0.0337033
0.0269519,0.0309387
0.0220464,0.0281518
0.0176240,0.0253476
0.0136884,0.0225309
0.0102428,0.0197063
0.0072897,0.0168778
0.0048314,0.0140491
0.0028694,0.0112234
0.0014048,0.0084036
0.0004384,0.0055920
-0.0000297,0.0027903
0.0000000,0.0000000
0.0005232,-0.0027410
0.0015348,-0.0053949
0.0030332,-0.0079611
0.0050159,-0.0104388
0.0074803,-0.0128274
0.0104230,-0.0151261
0.0138405,-0.0173342
0.0177284,-0.0194509
0.0220823,-0.0214755
0.0268971,-0.0234072
0.0321674,-0.0252453
0.0378872,-0.0269891
0.0440504,-0.0286383
0.0506504,-0.0301921
0.0576800,-0.0316504
0.0651320,-0.0330129
0.0729987,-0.0342794
0.0812719,-0.0354502
0.0899434,-0.0365253
0.0990044,-0.0375054
0.1084460,-0.0383911
0.1182589,-0.0391833
0.1284337,-0.0398831
0.1389604,-0.0404920
0.1498290,-0.0410115
0.1610293,-0.0414436
0.1725506,-0.0417904
0.1843822,-0.0420543
0.1965131,-0.0422379
0.2089320,-0.0423443
0.2216275,-0.0423764
0.2345879,-0.0423376
0.2478013,-0.0422316
0.2612556,-0.0420620
0.2749387,-0.0418328
0.2888378,-0.0415482
0.3029406,-0.0412122
0.3172339,-0.0408292
0.3317049,-0.0404037
0.3463403,-0.0399401
0.3611266,-0.0394428
0.3760504,-0.0389164
0.3910979,-0.0383653
0.4062853,-0.0377913
0.4216609,-0.0371743
0.4371156,-0.0365127
0.4526345,-0.0358101
0.4682029,-0.0350702
0.4838054,-0.0342965
0.4994272,-0.0334927
0.5150530,-0.0326622
0.5306677,-0.0318083
0.5462560,-0.0309343
0.5618027,-0.0300434
0.5772928,-0.0291385
0.5927109,-0.0282225
0.6080119,-0.0273018
0.6230935,-0.0264092
0.6379552,-0.0255859
0.6526028,-0.0248674
0.6670403,-0.0242831
0.6812691,-0.0238569
0.6952887,-0.0236077
0.7090964,-0.0235494
0.7226877,-0.0236913
0.7360559,-0.0240382
0.7491931,-0.0245910
0.7620901,-0.0253470
0.7747364,-0.0262997
0.7871209,-0.0274399
0.7992321,-0.0287555
0.8110581,-0.0302322
0.8225868,-0.0318535
0.8338064,-0.0336018
0.8447050,-0.0354581
0.8552712,-0.0374027
0.8654939,-0.0394154
0.8753626,-0.0414763
0.8848668,-0.0435654
0.8939969,-0.0456637
0.9027435,-0.0477526
0.9110977,-0.0498149
0.9190509,-0.0518344
0.9265952,-0.0537963
0.9337228,-0.0556873
0.9404264,-0.0574954
0.9466991,-0.0592102
0.9525345,-0.0608226
0.9579263,-0.0623251
0.9628690,-0.0637112
0.9673573,-0.0649758
0.9713864,-0.0661147
0.9749518,-0.0671248
0.9780499,-0.0680036
0.9806770,-0.0687493
0.9828305,-0.0693607
0.9845079,-0.0698369
0.9857073,-0.0701774
0.9864276,-0.0703818
0.9866677,-0.0704500
