x,y
1.0003240,0.0083327
1.0000779,0.0083751
0.9993399,0.0085022
0.9981106,0.0087136
0.9963913,0.0090085
0.9941834,0.0093860
0.9914893,0.0098448
0.9883113,0.0103834
0.9846525,0.0110000
0.9805165,0.0116929
0.9759073,0.0124598
0.9708293,0.0132986
0.9652876,0.0142068
0.9592874,0.0151820
0.9528349,0.0162217
0.9459364,0.0173232
0.9385987,0.0184839
0.9308293,0.0197013
0.9226360,0.0209726
0.9140270,0.0222954
0.9050110,0.0236671
0.8955971,0.0250851
0.8857949,0.0265470
0.8756142,0.0280504
0.8650653,0.0295929
0.8541589,0.0311721
0.8429058,0.0327856
0.8313172,0.0344309
0.8194045,0.0361056
0.8071795,0.0378071
0.7946541,0.0395327
0.7818402,0.0412795
0.7687501,0.0430444
0.7553962,0.0448241
0.7417908,0.0466150
0.7279464,0.0484130
0.7138756,0.0502139
0.6995910,0.0520129
0.6851051,0.0538049
0.6704306,0.0555841
0.6555801,0.0573443
0.6405661,0.0590790
0.6254012,0.0607808
0.6100982,0.0624419
0.5946704,0.0640541
0.5791417,0.0656094
0.5635305,0.0671033
0.5478524,0.0685315
0.5321229,0.0698900
0.5163578,0.0711746
0.5005728,0.0723816
0.4847838,0.0735070
0.4690066,0.0745472
0.4532571,0.0754987
0.4375512,0.0763579
0.4219047,0.0771216
0.4063334,0.0777868
0.3907588,0.0783448
0.3752597,0.0787682
0.3598823,0.0790528
0.3446427,0.0791973
0.3295572,0.0792007
0.3146415,0.0790626
0.2999115,0.0787830
0.2853829,0.0783621
0.2710708,0.0778009
0.2569907,0.0771004
0.2431573,0.0762624
0.2295853,0.0752889
0.2162891,0.0741823
0.2032827,0.0729457
0.1905798,0.0715822
0.1781938,0.0700956
0.1661375,0.0684899
0.1544236,0.0667695
0.1430642,0.0649392
0.1320710,0.0630040
0.1214553,0.0609692
0.1112278,0.0588405
0.1013990,0.0566234
0.0919786,0.0543241
0.0829761,0.0519485
0.0744002,0.0495027
0.0662593,0.0469932
0.0585613,0.0444260
0.0513135,0.0418073
0.0445226,0.0391433
0.0381949,0.0364400
0.0323363,0.0337033
0.0269519,0.0309387
0.0220464,0.0281518
0.0176240,0.0253476
0.0136884,0.0225309
0.0102428,0.0197063
0.0072897,0.0168778
0.0048314,0.0140491
0.0028694,0.0112234
0.0014048,0.0084036
0.0004384,0.0055920
-0.0000297,0.0027903
0.0000000,0.0000000
0.0005232,-0.0027410
0.0015348,-0.0053949
0.0030332,-0.0079611
0.0050159,-0.0104388
0.0074803,-0.0128274
0.0104230,-0.0151261
0.0138405,-0.0173342
0.0177284,-0.0194509
0.0220823,-0.0214755
0.0268971,-0.0234072
0.0321674,-0.0252453
0.0378872,-0.0269891
0.0440504,-0.0286383
0.0506504,-0.0301921
0.0576800,-0.0316504
0.0651320,-0.0330129
0.0729987,-0.0342794
0.0812719,-0.0354502
0.0899434,-0.0365253
0.0990044,-0.0375054
0.1084460,-0.0383911
0.1182589,-0.0391833
0.1284337,-0.0398831
0.1389604,-0.0404920
0.1498290,-0.0410115
0.1610293,-0.0414436
0.1725506,-0.0417904
0.1843822,-0.0420543
0.1965131,-0.0422379
0.2089320,-0.0423443
0.2216275,-0.0423764
0.2345879,-0.0423376
0.2478013,-0.0422316
0.2612556,-0.0420620
0.2749387,-0.0418328
0.2888378,-0.0415482
0.3029406,-0.0412122
0.3172339,-0.0408292
0.3317049,-0.0404037
0.3463403,-0.0399401
0.3611266,-0.0394428
0.3760504,-0.0389164
0.3910979,-0.0383653
0.4062853,-0.0377913
0.4216609,-0.0371743
0.4371156,-0.0365127
0.4526345,-0.0358101
0.4682029,-0.0350702
0.4838054,-0.0342965
0.4994272,-0.0334927
0.5150530,-0.0326622
0.5306677,-0.0318083
0.5462560,-0.0309343
0.5618027,-0.0300434
0.5772928,-0.0291385
0.5927109,-0.0282225
0.6080451,-0.0272978
0.6232889,-0.0263639
0.6384259,-0.0254192
0.6534390,-0.0244625
0.6683114,-0.0234930
0.6830266,-0.0225103
0.6975684,-0.0215146
0.7119208,-0.0205061
0.7260682,-0.0194858
0.7399956,-0.0184548
0.7536879,-0.0174146
0.7671309,-0.0163670
0.7803105,-0.0153141
0.7932131,-0.0142583
0.8058253,-0.0132021
0.8181345,-0.0121482
0.8301281,-0.0110994
0.8417942,-0.0100587
0.8531211,-0.0090291
0.8640976,-0.0080135
0.8747130,-0.0070151
0.8849568,-0.0060368
0.8948189,-0.0050816
0.9042898,-0.0041522
0.9133601,-0.0032515
0.9220210,-0.0023822
0.9302640,-0.0015466
0.9380811,-0.0007471
0.9454644,0.0000140
0.9524069,0.0007348
0.9589015,0.0014132
0.9649418,0.0020478
0.9705218,0.0026368
0.9756359,0.0031788
0.9802788,0.0036728
0.9844459,0.0041175
0.9881330,0.0045119
0.9913361,0.0048554
0.9940522,0.0051471
0.9962782,0.0053866
0.9980120,0.0055733
0.9992517,0.0057069
0.9999961,0.0057872
1.0002443,0.0058140
