NACA 2412 theta = 20	
0.994243006	0.071533001
0.993995849	0.071497298
0.993254672	0.071390132
0.992020275	0.07121132
0.990294023	0.070960605
0.988077827	0.07063771
0.985374154	0.070242427
0.982186036	0.069774723
0.978517066	0.069234861
0.974371422	0.068623533
0.969753846	0.067942011
0.964669656	0.067192284
0.959124749	0.066377209
0.953125576	0.065500641
0.946679154	0.064567553
0.939793039	0.063584139
0.932475337	0.062557888
0.924734658	0.061497628
0.916580147	0.060413536
0.908021422	0.059317111
0.899068605	0.058221106
0.889732262	0.057139415
0.880023419	0.056086925
0.869953508	0.055079316
0.859534356	0.054132832
0.848778101	0.053264006
0.837697164	0.052489358
0.82630414	0.051825068
0.814611715	0.051286618
0.802632501	0.050888424
0.790378929	0.050643467
0.777863008	0.050562903
0.765096174	0.050655701
0.752089018	0.050928262
0.738851054	0.051384076
0.725390514	0.052023376
0.711714002	0.052842812
0.697826373	0.053835143
0.683730447	0.054988921
0.669426894	0.056288203
0.654914124	0.057712234
0.64018828	0.059235133
0.625243317	0.060825567
0.610071241	0.062446382
0.594670414	0.064054067
0.579141712	0.06560945
0.563530506	0.06710333
0.547852351	0.06853154
0.532122868	0.069889983
0.516357761	0.071174642
0.500572797	0.072381597
0.4847838	0.073507028
0.469006627	0.074547236
0.453257145	0.075498653
0.437551213	0.076357865
0.42190468	0.077121619
0.406333356	0.077786847
0.390758813	0.078344766
0.375259676	0.078768238
0.359882264	0.079052829
0.344642739	0.079197274
0.329557181	0.079200693
0.31464152	0.079062617
0.299911548	0.078782982
0.285382859	0.078362149
0.271070845	0.077800898
0.256990682	0.077100442
0.243157299	0.076262418
0.229585326	0.075288889
0.216289135	0.074182342
0.203282733	0.072945673
0.190579841	0.071582183
0.178193787	0.070095557
0.166137519	0.068489856
0.154423612	0.066769489
0.143064201	0.064939193
0.132070993	0.063004009
0.121455272	0.060969248
0.111227816	0.058840467
0.101398982	0.056623429
0.091978607	0.054324067
0.082976054	0.051948452
0.07440017	0.049502748
0.066259298	0.046993172
0.058561288	0.044425954
0.051313454	0.041807294
0.044522576	0.039143315
0.038194935	0.036440028
0.032336303	0.033703285
0.026951874	0.030938735
0.022046377	0.02815179
0.017623998	0.025347583
0.013688404	0.022530934
0.010242764	0.019706313
0.0072897	0.016877807
0.004831358	0.014049102
0.002869355	0.011223444
0.001404841	0.008403628
0.000438446	0.005591976
-2.97304E-05	0.002790319
0	0
0.00052317	-0.00274099
0.001534826	-0.005394892
0.003033195	-0.007961055
0.005015943	-0.0104388
0.007480302	-0.01282741
0.01042305	-0.015126141
0.013840474	-0.017334239
0.017728434	-0.019450938
0.022082316	-0.021475488
0.026897107	-0.023407158
0.032167358	-0.025245254
0.037887211	-0.026989143
0.044050439	-0.028638259
0.050650372	-0.030192138
0.057680022	-0.03165042
0.065132032	-0.033012874
0.072998674	-0.034279423
0.081271904	-0.035450153
0.089943372	-0.03652533
0.099004399	-0.037505423
0.108446006	-0.038391113
0.118258942	-0.039183302
0.128433658	-0.039883135
0.138960379	-0.040491997
0.149829017	-0.041011524
0.161029282	-0.041443607
0.172550615	-0.041790396
0.184382223	-0.042054291
0.196513105	-0.042237948
0.208932015	-0.042344261
0.221627487	-0.042376366
0.23458788	-0.042337616
0.247801285	-0.04223158
0.261255644	-0.042062012
0.274938655	-0.041832846
0.288837849	-0.041548167
0.302940562	-0.041212188
0.317233928	-0.040829233
0.331704899	-0.040403706
0.346340267	-0.039940068
0.36112663	-0.039442804
0.376050436	-0.038916407
0.391097945	-0.03836534
0.40628533	-0.03779127
0.421660854	-0.03717434
0.437115553	-0.03651273
0.452634541	-0.035810127
0.468202853	-0.035070193
0.48380544	-0.034296537
0.499427203	-0.033492709
0.515052999	-0.032662169
0.530667652	-0.031808285
0.546255963	-0.030934309
0.561802728	-0.030043378
0.577292754	-0.029138493
0.5927109	-0.028222519
0.608072194	-0.027294563
0.62344865	-0.026326214
0.638810076	-0.025278885
0.654119184	-0.02411872
0.669339588	-0.022817185
0.684435963	-0.02135133
0.699374226	-0.019703894
0.71412177	-0.017863258
0.728647682	-0.01582327
0.74292303	-0.013582945
0.756920982	-0.011146083
0.770617091	-0.008520788
0.783989325	-0.005718956
0.797018162	-0.002755712
0.809686618	0.000351167
0.821980138	0.003581811
0.833886544	0.006914829
0.845395814	0.0103278
0.856499936	0.013797782
0.867192638	0.017301715
0.877469165	0.020816819
0.887325998	0.024320896
0.896760633	0.027792615
0.905771299	0.031211714
0.914356759	0.034559168
0.922516077	0.037817303
0.930248479	0.04096988
0.93755317	0.044002123
0.944429262	0.046900738
0.950875651	0.049653877
0.956891009	0.052251109
0.96247373	0.054683338
0.967621962	0.056942735
0.972333624	0.05902264
0.976606463	0.060917464
0.980438105	0.062622575
0.983826132	0.064134197
0.986768174	0.065449298
0.989261966	0.066565489
0.991305446	0.067480925
0.99289681	0.068194222
0.994034593	0.068704381
0.994717711	0.069010735
0.994945484	0.069112893
