NACA 2412 theta = -40	
0.958089219	-0.131523801
0.957934719	-0.131327606
0.957471301	-0.130739297
0.956699123	-0.129759633
0.955618399	-0.128389933
0.954229276	-0.126632092
0.952531693	-0.124488651
0.950525209	-0.121962874
0.948208797	-0.119058839
0.945580625	-0.115781562
0.942637829	-0.112137104
0.939376277	-0.108132729
0.935790371	-0.103777068
0.931872837	-0.099080272
0.927614584	-0.094054229
0.923004593	-0.088712756
0.918029886	-0.083071837
0.912675541	-0.077149837
0.906924828	-0.070967771
0.900759406	-0.064549507
0.894159662	-0.057922016
0.887105115	-0.051115532
0.879574985	-0.044163717
0.871548827	-0.037103698
0.863007296	-0.029976045
0.853932968	-0.022824575
0.844311264	-0.015696045
0.834131365	-0.008639625
0.823387154	-0.001706196
0.812078059	0.005052593
0.800209868	0.011585444
0.78779529	0.01784277
0.774854425	0.023778175
0.761414896	0.0293501
0.74751177	0.034523503
0.733187228	0.039271516
0.718489839	0.043577048
0.703473813	0.047434139
0.688197892	0.050849098
0.672724285	0.053841263
0.657117557	0.056443356
0.641443674	0.058701374
0.625769244	0.060673984
0.610161129	0.062431396
0.594670414	0.064054067
0.579141712	0.06560945
0.563530506	0.06710333
0.547852351	0.06853154
0.532122868	0.069889983
0.516357761	0.071174642
0.500572797	0.072381597
0.4847838	0.073507028
0.469006627	0.074547236
0.453257145	0.075498653
0.437551213	0.076357865
0.42190468	0.077121619
0.406333356	0.077786847
0.390758813	0.078344766
0.375259676	0.078768238
0.359882264	0.079052829
0.344642739	0.079197274
0.329557181	0.079200693
0.31464152	0.079062617
0.299911548	0.078782982
0.285382859	0.078362149
0.271070845	0.077800898
0.256990682	0.077100442
0.243157299	0.076262418
0.229585326	0.075288889
0.216289135	0.074182342
0.203282733	0.072945673
0.190579841	0.071582183
0.178193787	0.070095557
0.166137519	0.068489856
0.154423612	0.066769489
0.143064201	0.064939193
0.132070993	0.063004009
0.121455272	0.060969248
0.111227816	0.058840467
0.101398982	0.056623429
0.091978607	0.054324067
0.082976054	0.051948452
0.07440017	0.049502748
0.066259298	0.046993172
0.058561288	0.044425954
0.051313454	0.041807294
0.044522576	0.039143315
0.038194935	0.036440028
0.032336303	0.033703285
0.026951874	0.030938735
0.022046377	0.02815179
0.017623998	0.025347583
0.013688404	0.022530934
0.010242764	0.019706313
0.0072897	0.016877807
0.004831358	0.014049102
0.002869355	0.011223444
0.001404841	0.008403628
0.000438446	0.005591976
-2.97304E-05	0.002790319
0	0
0.00052317	-0.00274099
0.001534826	-0.005394892
0.003033195	-0.007961055
0.005015943	-0.0104388
0.007480302	-0.01282741
0.01042305	-0.015126141
0.013840474	-0.017334239
0.017728434	-0.019450938
0.022082316	-0.021475488
0.026897107	-0.023407158
0.032167358	-0.025245254
0.037887211	-0.026989143
0.044050439	-0.028638259
0.050650372	-0.030192138
0.057680022	-0.03165042
0.065132032	-0.033012874
0.072998674	-0.034279423
0.081271904	-0.035450153
0.089943372	-0.03652533
0.099004399	-0.037505423
0.108446006	-0.038391113
0.118258942	-0.039183302
0.128433658	-0.039883135
0.138960379	-0.040491997
0.149829017	-0.041011524
0.161029282	-0.041443607
0.172550615	-0.041790396
0.184382223	-0.042054291
0.196513105	-0.042237948
0.208932015	-0.042344261
0.221627487	-0.042376366
0.23458788	-0.042337616
0.247801285	-0.04223158
0.261255644	-0.042062012
0.274938655	-0.041832846
0.288837849	-0.041548167
0.302940562	-0.041212188
0.317233928	-0.040829233
0.331704899	-0.040403706
0.346340267	-0.039940068
0.36112663	-0.039442804
0.376050436	-0.038916407
0.391097945	-0.03836534
0.40628533	-0.03779127
0.421660854	-0.03717434
0.437115553	-0.03651273
0.452634541	-0.035810127
0.468202853	-0.035070193
0.48380544	-0.034296537
0.499427203	-0.033492709
0.515052999	-0.032662169
0.530667652	-0.031808285
0.546255963	-0.030934309
0.561802728	-0.030043378
0.577292754	-0.029138493
0.5927109	-0.028222519
0.607981711	-0.02730535
0.622915694	-0.026449555
0.637526272	-0.025733055
0.6518384	-0.025221002
0.665871766	-0.024966814
0.679640485	-0.025013293
0.693153125	-0.025393528
0.706413041	-0.026131607
0.719418886	-0.027243213
0.732165351	-0.028736139
0.74464386	-0.030610759
0.756843506	-0.032860542
0.76875179	-0.035472561
0.780355433	-0.038428085
0.791641115	-0.041703222
0.802596015	-0.045269607
0.813208366	-0.049095163
0.823467732	-0.053144856
0.83336529	-0.057381488
0.842893872	-0.061766462
0.852047978	-0.066260527
0.860823628	-0.070824453
0.869218214	-0.075419677
0.877230226	-0.080008834
0.884859011	-0.084556247
0.892104481	-0.089028289
0.898966889	-0.093393713
0.905446562	-0.097623838
0.911543746	-0.101692718
0.917258425	-0.105577175
0.922590248	-0.10925682
0.927538452	-0.112713965
0.932101869	-0.115933522
0.936278946	-0.11890283
0.940067807	-0.121611463
0.943466325	-0.124051001
0.946472223	-0.126214786
0.949083183	-0.12809769
0.951296945	-0.12969585
0.95311141	-0.131006449
0.954524725	-0.132027493
0.955535371	-0.132757641
0.956142226	-0.133196041
0.956344582	-0.133342219
