NACA 2412 theta = -32	
0.971860515	-0.107206347
0.971680215	-0.107033564
0.971139433	-0.106515477
0.970238444	-0.105652818
0.968977676	-0.104446857
0.967357611	-0.102899427
0.965378684	-0.101012991
0.963041156	-0.098790725
0.96034496	-0.096236608
0.957289543	-0.09335554
0.953873699	-0.090153454
0.950095398	-0.086637459
0.945951651	-0.08281598
0.941438352	-0.078698901
0.936550195	-0.074297736
0.931280594	-0.069625773
0.925621683	-0.064698255
0.919564332	-0.059532516
0.913098278	-0.054148155
0.906212265	-0.048567146
0.898894329	-0.042813969
0.891132082	-0.03691566
0.882913151	-0.030901857
0.874225627	-0.024804743
0.865058626	-0.01865894
0.85540285	-0.012501277
0.845251248	-0.006370473
0.834599638	-0.000306681
0.823447353	0.005649098
0.811797803	0.011455746
0.799659048	0.017072875
0.787044148	0.022461832
0.773971516	0.027586765
0.760465001	0.032415798
0.746553866	0.036922229
0.732272616	0.041085691
0.717660525	0.044893306
0.702761212	0.04834065
0.687621927	0.051432596
0.672292884	0.054183903
0.656826539	0.056619546
0.641276942	0.058774727
0.6256992	0.060694565
0.610149146	0.062433405
0.594670414	0.064054067
0.579141712	0.06560945
0.563530506	0.06710333
0.547852351	0.06853154
0.532122868	0.069889983
0.516357761	0.071174642
0.500572797	0.072381597
0.4847838	0.073507028
0.469006627	0.074547236
0.453257145	0.075498653
0.437551213	0.076357865
0.42190468	0.077121619
0.406333356	0.077786847
0.390758813	0.078344766
0.375259676	0.078768238
0.359882264	0.079052829
0.344642739	0.079197274
0.329557181	0.079200693
0.31464152	0.079062617
0.299911548	0.078782982
0.285382859	0.078362149
0.271070845	0.077800898
0.256990682	0.077100442
0.243157299	0.076262418
0.229585326	0.075288889
0.216289135	0.074182342
0.203282733	0.072945673
0.190579841	0.071582183
0.178193787	0.070095557
0.166137519	0.068489856
0.154423612	0.066769489
0.143064201	0.064939193
0.132070993	0.063004009
0.121455272	0.060969248
0.111227816	0.058840467
0.101398982	0.056623429
0.091978607	0.054324067
0.082976054	0.051948452
0.07440017	0.049502748
0.066259298	0.046993172
0.058561288	0.044425954
0.051313454	0.041807294
0.044522576	0.039143315
0.038194935	0.036440028
0.032336303	0.033703285
0.026951874	0.030938735
0.022046377	0.02815179
0.017623998	0.025347583
0.013688404	0.022530934
0.010242764	0.019706313
0.0072897	0.016877807
0.004831358	0.014049102
0.002869355	0.011223444
0.001404841	0.008403628
0.000438446	0.005591976
-2.97304E-05	0.002790319
0	0
0.00052317	-0.00274099
0.001534826	-0.005394892
0.003033195	-0.007961055
0.005015943	-0.0104388
0.007480302	-0.01282741
0.01042305	-0.015126141
0.013840474	-0.017334239
0.017728434	-0.019450938
0.022082316	-0.021475488
0.026897107	-0.023407158
0.032167358	-0.025245254
0.037887211	-0.026989143
0.044050439	-0.028638259
0.050650372	-0.030192138
0.057680022	-0.03165042
0.065132032	-0.033012874
0.072998674	-0.034279423
0.081271904	-0.035450153
0.089943372	-0.03652533
0.099004399	-0.037505423
0.108446006	-0.038391113
0.118258942	-0.039183302
0.128433658	-0.039883135
0.138960379	-0.040491997
0.149829017	-0.041011524
0.161029282	-0.041443607
0.172550615	-0.041790396
0.184382223	-0.042054291
0.196513105	-0.042237948
0.208932015	-0.042344261
0.221627487	-0.042376366
0.23458788	-0.042337616
0.247801285	-0.04223158
0.261255644	-0.042062012
0.274938655	-0.041832846
0.288837849	-0.041548167
0.302940562	-0.041212188
0.317233928	-0.040829233
0.331704899	-0.040403706
0.346340267	-0.039940068
0.36112663	-0.039442804
0.376050436	-0.038916407
0.391097945	-0.03836534
0.40628533	-0.03779127
0.421660854	-0.03717434
0.437115553	-0.03651273
0.452634541	-0.035810127
0.468202853	-0.035070193
0.48380544	-0.034296537
0.499427203	-0.033492709
0.515052999	-0.032662169
0.530667652	-0.031808285
0.546255963	-0.030934309
0.561802728	-0.030043378
0.577292754	-0.029138493
0.5927109	-0.028222519
0.607993776	-0.027303923
0.622986813	-0.026433483
0.637697946	-0.025674722
0.652144654	-0.025081231
0.666340572	-0.024697274
0.680295251	-0.024558532
0.694014147	-0.024692729
0.707498822	-0.02512016
0.720747281	-0.025854155
0.733754472	-0.026901516
0.74651274	-0.028262918
0.759012494	-0.029933362
0.771242689	-0.031902617
0.783191403	-0.034155714
0.794846357	-0.03667349
0.806195288	-0.039433143
0.817226374	-0.042408844
0.827928433	-0.045572339
0.838291169	-0.048893583
0.848305233	-0.052341343
0.857962281	-0.055883793
0.867254924	-0.05948906
0.87617668	-0.063125746
0.884721829	-0.066763367
0.892885312	-0.070372754
0.900662559	-0.073926373
0.908049393	-0.077398595
0.915041872	-0.080765874
0.921636227	-0.084006893
0.927828745	-0.087102603
0.933615756	-0.090036255
0.938993576	-0.092793329
0.943958527	-0.095361459
0.948506948	-0.097730289
0.952635241	-0.099891317
0.956339904	-0.101837701
0.959617596	-0.103564056
0.962465199	-0.10506626
0.964879873	-0.106341227
0.966859114	-0.107386729
0.968400799	-0.108201201
0.969503236	-0.108783603
0.970165201	-0.109133281
0.970385932	-0.109249874
