NACA 2412 theta = -4	
0.999052569	-0.012862053
0.998812257	-0.01279414
0.99809156	-0.012590578
0.996891101	-0.012251869
0.995211944	-0.011778864
0.993055564	-0.01117276
0.990423839	-0.010435109
0.987319046	-0.009567827
0.983743844	-0.008573206
0.979701272	-0.007453932
0.975194724	-0.006213083
0.970227943	-0.004854156
0.964805017	-0.003381071
0.958930352	-0.001798179
0.952608682	-0.000110276
0.945845047	0.001677402
0.938644818	0.00355917
0.931013661	0.005528907
0.922957584	0.007580058
0.91448291	0.009705654
0.905596327	0.011898333
0.896304866	0.014150372
0.886615961	0.016453715
0.876537453	0.018800024
0.866077633	0.021180727
0.855245249	0.023587081
0.844049567	0.026010233
0.832500386	0.0284413
0.820608086	0.030871447
0.80838363	0.033291973
0.795838647	0.035694406
0.782985388	0.0380706
0.769836816	0.04041283
0.756406572	0.042713899
0.742708994	0.044967235
0.728759169	0.047166986
0.714572823	0.049308125
0.700166425	0.051386528
0.685557078	0.053399056
0.670762532	0.055343627
0.655801132	0.057219272
0.640691775	0.059026174
0.625453851	0.060765702
0.6101072	0.06244041
0.594670414	0.064054067
0.579141712	0.06560945
0.563530506	0.06710333
0.547852351	0.06853154
0.532122868	0.069889983
0.516357761	0.071174642
0.500572797	0.072381597
0.4847838	0.073507028
0.469006627	0.074547236
0.453257145	0.075498653
0.437551213	0.076357865
0.42190468	0.077121619
0.406333356	0.077786847
0.390758813	0.078344766
0.375259676	0.078768238
0.359882264	0.079052829
0.344642739	0.079197274
0.329557181	0.079200693
0.31464152	0.079062617
0.299911548	0.078782982
0.285382859	0.078362149
0.271070845	0.077800898
0.256990682	0.077100442
0.243157299	0.076262418
0.229585326	0.075288889
0.216289135	0.074182342
0.203282733	0.072945673
0.190579841	0.071582183
0.178193787	0.070095557
0.166137519	0.068489856
0.154423612	0.066769489
0.143064201	0.064939193
0.132070993	0.063004009
0.121455272	0.060969248
0.111227816	0.058840467
0.101398982	0.056623429
0.091978607	0.054324067
0.082976054	0.051948452
0.07440017	0.049502748
0.066259298	0.046993172
0.058561288	0.044425954
0.051313454	0.041807294
0.044522576	0.039143315
0.038194935	0.036440028
0.032336303	0.033703285
0.026951874	0.030938735
0.022046377	0.02815179
0.017623998	0.025347583
0.013688404	0.022530934
0.010242764	0.019706313
0.0072897	0.016877807
0.004831358	0.014049102
0.002869355	0.011223444
0.001404841	0.008403628
0.000438446	0.005591976
-2.97304E-05	0.002790319
0	0
0.00052317	-0.00274099
0.001534826	-0.005394892
0.003033195	-0.007961055
0.005015943	-0.0104388
0.007480302	-0.01282741
0.01042305	-0.015126141
0.013840474	-0.017334239
0.017728434	-0.019450938
0.022082316	-0.021475488
0.026897107	-0.023407158
0.032167358	-0.025245254
0.037887211	-0.026989143
0.044050439	-0.028638259
0.050650372	-0.030192138
0.057680022	-0.03165042
0.065132032	-0.033012874
0.072998674	-0.034279423
0.081271904	-0.035450153
0.089943372	-0.03652533
0.099004399	-0.037505423
0.108446006	-0.038391113
0.118258942	-0.039183302
0.128433658	-0.039883135
0.138960379	-0.040491997
0.149829017	-0.041011524
0.161029282	-0.041443607
0.172550615	-0.041790396
0.184382223	-0.042054291
0.196513105	-0.042237948
0.208932015	-0.042344261
0.221627487	-0.042376366
0.23458788	-0.042337616
0.247801285	-0.04223158
0.261255644	-0.042062012
0.274938655	-0.041832846
0.288837849	-0.041548167
0.302940562	-0.041212188
0.317233928	-0.040829233
0.331704899	-0.040403706
0.346340267	-0.039940068
0.36112663	-0.039442804
0.376050436	-0.038916407
0.391097945	-0.03836534
0.40628533	-0.03779127
0.421660854	-0.03717434
0.437115553	-0.03651273
0.452634541	-0.035810127
0.468202853	-0.035070193
0.48380544	-0.034296537
0.499427203	-0.033492709
0.515052999	-0.032662169
0.530667652	-0.031808285
0.546255963	-0.030934309
0.561802728	-0.030043378
0.577292754	-0.029138493
0.5927109	-0.028222519
0.608036003	-0.0272989
0.62323559	-0.026376326
0.638297614	-0.025465167
0.653211463	-0.024574558
0.667966284	-0.023712372
0.682550999	-0.022885249
0.696954284	-0.022098626
0.711164589	-0.021356785
0.725170126	-0.020662913
0.73895895	-0.020019164
0.752518893	-0.019426733
0.765837714	-0.018885943
0.778903041	-0.018396327
0.791702449	-0.017956722
0.804223524	-0.017565361
0.81645385	-0.017219972
0.828381119	-0.016917867
0.839993109	-0.016656046
0.851277777	-0.016431274
0.862223265	-0.01624018
0.87281796	-0.016079327
0.883050505	-0.015945295
0.892909874	-0.015834736
0.902385356	-0.015744442
0.911466626	-0.015671388
0.92014373	-0.015612769
0.928407157	-0.015566039
0.936247814	-0.01552892
0.943657089	-0.015499421
0.950626829	-0.01547584
0.957149387	-0.015456757
0.963217605	-0.015441022
0.968824846	-0.015427741
0.973964991	-0.015416245
0.978632454	-0.015406073
0.982822171	-0.015396932
0.986529612	-0.015388673
0.989750789	-0.015381257
0.992482241	-0.015374721
0.994721046	-0.015369153
0.99646481	-0.015364661
0.99771168	-0.015361359
0.998460336	-0.015359337
0.998709967	-0.015358655
