NACA 2412 theta = 2	
1.00032401	0.008332699
1.000077916	0.00837512
0.999339891	0.008502234
0.998110616	0.00871361
0.996391257	0.00900853
0.994183438	0.009386003
0.991489254	0.00984478
0.988311271	0.010383366
0.984652527	0.011000046
0.980516546	0.0116929
0.975907323	0.012459833
0.970829338	0.013298598
0.965287564	0.01420682
0.959287446	0.015182031
0.952834917	0.016221685
0.945936386	0.017323191
0.938598746	0.01848393
0.930829344	0.019701284
0.922636004	0.020972641
0.914026977	0.022295419
0.905010973	0.023667072
0.895597097	0.025085096
0.885794874	0.026547025
0.8756142	0.028050432
0.865065346	0.029592917
0.854158899	0.03117209
0.842905773	0.032785557
0.831317158	0.03443089
0.819404515	0.036105599
0.807179514	0.037807104
0.794654057	0.039532694
0.781840185	0.04127949
0.768750118	0.043044406
0.755396177	0.044824106
0.741790771	0.046614963
0.72794642	0.048413013
0.713875634	0.050213923
0.699591013	0.052012946
0.685105141	0.053804888
0.670430622	0.055584078
0.655580061	0.057344343
0.640566065	0.059078983
0.625401238	0.060780764
0.61009821	0.062441906
0.594670414	0.064054067
0.579141712	0.06560945
0.563530506	0.06710333
0.547852351	0.06853154
0.532122868	0.069889983
0.516357761	0.071174642
0.500572797	0.072381597
0.4847838	0.073507028
0.469006627	0.074547236
0.453257145	0.075498653
0.437551213	0.076357865
0.42190468	0.077121619
0.406333356	0.077786847
0.390758813	0.078344766
0.375259676	0.078768238
0.359882264	0.079052829
0.344642739	0.079197274
0.329557181	0.079200693
0.31464152	0.079062617
0.299911548	0.078782982
0.285382859	0.078362149
0.271070845	0.077800898
0.256990682	0.077100442
0.243157299	0.076262418
0.229585326	0.075288889
0.216289135	0.074182342
0.203282733	0.072945673
0.190579841	0.071582183
0.178193787	0.070095557
0.166137519	0.068489856
0.154423612	0.066769489
0.143064201	0.064939193
0.132070993	0.063004009
0.121455272	0.060969248
0.111227816	0.058840467
0.101398982	0.056623429
0.091978607	0.054324067
0.082976054	0.051948452
0.07440017	0.049502748
0.066259298	0.046993172
0.058561288	0.044425954
0.051313454	0.041807294
0.044522576	0.039143315
0.038194935	0.036440028
0.032336303	0.033703285
0.026951874	0.030938735
0.022046377	0.02815179
0.017623998	0.025347583
0.013688404	0.022530934
0.010242764	0.019706313
0.0072897	0.016877807
0.004831358	0.014049102
0.002869355	0.011223444
0.001404841	0.008403628
0.000438446	0.005591976
-2.97304E-05	0.002790319
0	0
0.00052317	-0.00274099
0.001534826	-0.005394892
0.003033195	-0.007961055
0.005015943	-0.0104388
0.007480302	-0.01282741
0.01042305	-0.015126141
0.013840474	-0.017334239
0.017728434	-0.019450938
0.022082316	-0.021475488
0.026897107	-0.023407158
0.032167358	-0.025245254
0.037887211	-0.026989143
0.044050439	-0.028638259
0.050650372	-0.030192138
0.057680022	-0.03165042
0.065132032	-0.033012874
0.072998674	-0.034279423
0.081271904	-0.035450153
0.089943372	-0.03652533
0.099004399	-0.037505423
0.108446006	-0.038391113
0.118258942	-0.039183302
0.128433658	-0.039883135
0.138960379	-0.040491997
0.149829017	-0.041011524
0.161029282	-0.041443607
0.172550615	-0.041790396
0.184382223	-0.042054291
0.196513105	-0.042237948
0.208932015	-0.042344261
0.221627487	-0.042376366
0.23458788	-0.042337616
0.247801285	-0.04223158
0.261255644	-0.042062012
0.274938655	-0.041832846
0.288837849	-0.041548167
0.302940562	-0.041212188
0.317233928	-0.040829233
0.331704899	-0.040403706
0.346340267	-0.039940068
0.36112663	-0.039442804
0.376050436	-0.038916407
0.391097945	-0.03836534
0.40628533	-0.03779127
0.421660854	-0.03717434
0.437115553	-0.03651273
0.452634541	-0.035810127
0.468202853	-0.035070193
0.48380544	-0.034296537
0.499427203	-0.033492709
0.515052999	-0.032662169
0.530667652	-0.031808285
0.546255963	-0.030934309
0.561802728	-0.030043378
0.577292754	-0.029138493
0.5927109	-0.028222519
0.608045051	-0.027297818
0.62328887	-0.026363895
0.638425866	-0.025419173
0.653438991	-0.024462459
0.668311426	-0.023492966
0.683026637	-0.022510323
0.697568388	-0.021514563
0.711920776	-0.020506118
0.726068227	-0.0194858
0.739995566	-0.018454785
0.753687941	-0.017414581
0.767130946	-0.016367004
0.780310536	-0.015314146
0.793213066	-0.01425834
0.805825322	-0.013202122
0.818134462	-0.012148201
0.830128084	-0.011099414
0.841794159	-0.010058702
0.853121085	-0.00902906
0.864097642	-0.008013519
0.874713021	-0.007015101
0.884956786	-0.006036804
0.894818916	-0.00508156
0.904289763	-0.004152224
0.913360076	-0.003251547
0.922020979	-0.002382161
0.930264003	-0.001546564
0.938081052	-0.000747107
0.945464449	1.40111E-05
0.952406895	0.000734751
0.958901518	0.001413239
0.964941847	0.002047758
0.970521841	0.002636758
0.975635888	0.003178844
0.980278828	0.003672775
0.984445941	0.004117457
0.988132974	0.004511938
0.99133615	0.004855397
0.994052169	0.005147142
0.996278225	0.0053866
0.998012006	0.005573312
0.999251713	0.005706924
0.999996058	0.00578719
1.000244252	0.005813962
